candidate_rank,ID,Name,Role,decision,predicted_decision,prediction_confidence,skill_match_score,text_similarity_score,overall_match_score,selection_probability,candidate_score,recommendation,matched_skills_text,missing_skills_text,explanation_summary
4598,daviho700,David Holt,Robotics Engineer,select,reject,51.91,0.0,11.22,6.73,48.09,12.65,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4599,rivash0090,harini kumar,data engineer,reject,select,52.53,0.0,7.93,4.76,52.53,12.65,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4600,mattva311,Matthew Vargas,Business Analyst,reject,select,57.99,0.0,3.89,2.33,57.99,12.65,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4601,lisafo853,Lisa Foley,AI Researcher,reject,select,54.01,0.0,6.85,4.11,54.01,12.65,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4602,tammgr932,Tammy Green,Data Architect,select,select,55.0,0.0,6.1,3.66,55.0,12.65,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4603,isaaja306,Isaac Jackson,Software Engineer,select,reject,50.08,0.0,9.87,5.92,49.92,12.65,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4604,alexch939,Alexis Chavez,UX Designer,reject,select,53.26,0.0,7.42,4.45,53.26,12.65,Not Recommended,None,data science,This candidate has limited alignment with the current job requirements.
4605,cyntme392,Cynthia Mercer,Data Architect,select,select,57.37,0.0,4.36,2.62,57.37,12.65,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4606,jillhe909,Jillian Hernandez,Mobile App Developer,select,select,50.49,0.0,9.47,5.68,50.49,12.65,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4607,lisagi680,Lisa Gill,QA Engineer,reject,select,54.71,0.0,6.33,3.8,54.71,12.65,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4608,gregsa625,Gregory Sandoval,Data Scientist,select,select,56.86,0.0,4.7,2.82,56.86,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4609,lisaje239,Lisa Jenkins,Database Administrator,select,select,54.37,0.0,6.55,3.93,54.37,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4610,ricaca272,Ricardo Castro,UI Engineer,select,select,57.07,0.0,4.55,2.73,57.07,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4611,samaca791,Samantha Cameron,Database Administrator,reject,select,55.78,0.0,5.5,3.3,55.78,12.64,Not Recommended,None,machine learning,This candidate has limited alignment with the current job requirements.
4612,rivash0640,snehal kaur,data engineer,select,select,61.67,0.0,1.14,0.68,61.67,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4613,georcu955,George Curry,Cloud Engineer,reject,select,56.03,0.0,5.31,3.19,56.03,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4614,meagme760,Meagan Mendez,Data Architect,select,select,54.44,0.0,6.5,3.9,54.44,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4615,U_184,Emily,Data Analyst,select,select,56.42,0.0,5.02,3.01,56.42,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4616,edgawa908,Edgar Watson,Data Scientist,select,select,56.17,0.0,5.2,3.12,56.17,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4617,logabo795,Logan Boyer,Mobile App Developer,select,select,52.68,0.0,7.78,4.67,52.68,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4618,mattwa662,Matthew Washington,Full Stack Developer,select,reject,51.59,0.0,10.97,6.58,48.41,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4619,jenngo561,Jenny Gonzalez,Digital Marketing Specialist,reject,select,51.15,0.0,8.92,5.35,51.15,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4620,jennza192,Jennifer Zamora,Human Resources Specialist,select,select,50.56,0.0,9.35,5.61,50.56,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4621,joshme406,Joshua Mendoza,IT Support Specialist,select,select,53.22,0.0,7.4,4.44,53.22,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4622,rivash0724,hyma bhatt,ui designer,reject,select,56.23,0.0,5.15,3.09,56.23,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4623,carlhe820,Carl Hernandez,QA Engineer,reject,select,55.78,0.0,5.49,3.29,55.78,12.64,Not Recommended,None,data science,This candidate has limited alignment with the current job requirements.
4624,zachbr862,Zachary Brown,Blockchain Developer,reject,reject,61.16,0.0,18.04,10.82,38.84,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4625,xaviha411,Xavier Hall,Data Scientist,reject,select,57.46,0.0,4.25,2.55,57.46,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4626,ericha217,Erica Hamilton,IT Support Specialist,select,reject,51.38,0.0,10.78,6.47,48.62,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4627,kathra500,Kathy Ramirez,Data Engineer,reject,select,55.56,0.0,5.66,3.4,55.56,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4628,cathno556,Catherine Norman,Software Engineer,reject,select,55.41,0.0,5.79,3.47,55.41,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4629,kathsa863,Kathleen Sampson,Product Manager,select,select,54.23,0.0,6.63,3.98,54.23,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4630,monisi117,Monica Simmons,IT Support Specialist,reject,reject,50.23,0.0,9.93,5.96,49.77,12.64,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4631,ambewi591,Amber Willis,UX Designer,reject,select,50.52,0.0,9.37,5.62,50.52,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4632,staccu456,Stacey Cuevas,Business Analyst,reject,select,51.62,0.0,8.53,5.12,51.62,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4633,michme569,Michelle Mendoza,Human Resources Specialist,select,reject,51.83,0.0,11.08,6.65,48.17,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4634,richmi394,Richard Miller,IT Support Specialist,select,select,54.37,0.0,6.5,3.9,54.37,12.63,Not Recommended,None,machine learning,This candidate has limited alignment with the current job requirements.
4635,amanlo984,Amanda Love,Blockchain Developer,reject,select,52.17,0.0,8.11,4.87,52.17,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4636,robege890,Robert George,Cloud Engineer,reject,select,56.4,0.0,5.02,3.01,56.4,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4637,willmo683,William Morgan,Mobile App Developer,reject,reject,50.32,0.0,9.99,5.99,49.68,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4638,ms.da378,Ms. Danielle Clark,Mobile App Developer,select,reject,53.03,0.0,11.98,7.19,46.97,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4639,KotaSai43,Lahar Kumar,Software Developer,select,select,57.74,0.0,4.0,2.4,57.74,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4640,jameba384,James Barr,Full Stack Developer,reject,reject,50.97,0.0,10.46,6.28,49.03,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4641,josega801,Jose Garza,Content Writer,reject,select,52.94,0.0,7.56,4.54,52.94,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4642,jasosc415,Jason Scott,Database Administrator,select,select,51.06,0.0,8.96,5.38,51.06,12.63,Not Recommended,None,machine learning,This candidate has limited alignment with the current job requirements.
4643,zachwa503,Zachary Ward,AI Researcher,select,select,56.05,0.0,5.26,3.16,56.05,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4644,gabrha686,Gabriel Hall,UX Designer,select,select,52.85,0.0,7.64,4.58,52.85,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4645,laurja117,Lauren Jacobs,Cloud Architect,reject,select,54.53,0.0,6.4,3.84,54.53,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4646,jasomo683,Jason Morgan,Blockchain Developer,select,select,51.68,0.0,8.5,5.1,51.68,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4647,jesslu490,Jesse Luna,Cloud Architect,select,select,52.11,0.0,8.18,4.91,52.11,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4648,danikr107,Daniel Krause,Software Engineer,select,select,55.2,0.0,5.9,3.54,55.2,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4649,rivash0065,zev nair,data analyst,select,select,59.87,0.0,2.41,1.45,59.87,12.63,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4650,derehe340,Derek Henderson,Database Administrator,select,select,54.33,0.0,6.5,3.9,54.33,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4651,bridco994,Bridget Cooper,Robotics Engineer,select,select,53.0,0.0,7.49,4.49,53.0,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4652,jennru919,Jenny Russell,Human Resources Specialist,select,select,51.61,0.0,8.5,5.1,51.61,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4653,rivash0432,mythily chawla,data analyst,select,select,55.78,0.0,5.41,3.25,55.78,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4654,lindfa312,Lindsey Faulkner,Human Resources Specialist,select,select,51.01,0.0,8.96,5.38,51.01,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4655,dr.jo791,Dr. Joseph Brown,UI Engineer,reject,select,55.45,0.0,5.68,3.41,55.45,12.62,Not Recommended,None,data science,This candidate has limited alignment with the current job requirements.
4656,emilma177,Emily Martinez,Data Engineer,select,select,55.97,0.0,5.26,3.16,55.97,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4657,jonri807,Jon Riley,Game Developer,reject,reject,54.68,0.0,13.19,7.91,45.32,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4658,vanefu141,Vanessa Fuller,Mobile App Developer,reject,reject,51.45,0.0,10.78,6.47,48.55,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4659,katide288,Katie Delacruz,Human Resources Specialist,reject,reject,50.35,0.0,9.96,5.98,49.65,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4660,kaylmu137,Kayla Murphy,IT Support Specialist,select,select,51.29,0.0,8.73,5.24,51.29,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4661,stepfi620,Stephen Fields,Digital Marketing Specialist,select,select,53.57,0.0,7.07,4.24,53.57,12.62,Not Recommended,None,data science,This candidate has limited alignment with the current job requirements.
4662,jennng703,Jennifer Nguyen,Blockchain Developer,select,reject,50.69,0.0,10.22,6.13,49.31,12.62,Not Recommended,None,data science,This candidate has limited alignment with the current job requirements.
4663,pamda363,pam davis,product manager,select,reject,58.91,0.0,16.32,9.79,41.09,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4664,harima49,Sophia,UI Designer,reject,reject,53.45,0.0,12.26,7.36,46.55,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4665,elizru652,Elizabeth Russell,Cloud Engineer,select,select,55.93,0.0,5.31,3.19,55.93,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4666,melisa755,Melissa Salazar,Human Resources Specialist,reject,select,50.93,0.0,9.04,5.42,50.93,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4667,rivash0269,rijul gupta,product manager,select,select,58.14,0.0,3.66,2.2,58.14,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4668,timoga422,Timothy Garcia,Data Engineer,select,select,57.45,0.0,4.2,2.52,57.45,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4669,stevto891,Steven Torres,DevOps Engineer,select,select,54.35,0.0,6.47,3.88,54.35,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4670,robere367,robert reid,ui engineer,reject,reject,60.06,0.0,17.15,10.29,39.94,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4671,tanyho250,Tanya Hoffman,Software Engineer,select,select,52.74,0.0,7.67,4.6,52.74,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4672,rivash0067,lahar gupta,data engineer,reject,select,53.95,0.0,6.78,4.07,53.95,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4673,marihu389,Maria Huber,UI Engineer,select,select,56.57,0.0,4.83,2.9,56.57,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4674,bryayo415,Bryan Young,System Administrator,select,select,54.86,0.0,6.11,3.67,54.86,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4675,carlla890,Carla Landry,Cloud Engineer,select,select,55.7,0.0,5.5,3.3,55.7,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4676,KotaSai107,Yash Gupta,Software Developer,select,select,60.6,0.0,1.85,1.11,60.6,12.62,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4677,edwaca308,Edward Camacho,UI Engineer,select,select,56.0,0.0,5.24,3.14,56.0,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4678,rivash0158,vanshika singh,data analyst,select,select,58.92,0.0,3.05,1.83,58.92,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4679,michpe374,Michael Pena,Human Resources Specialist,select,reject,54.06,0.0,12.69,7.61,45.94,12.61,Not Recommended,None,data analysis,This candidate has limited alignment with the current job requirements.
4680,ianpe590,Ian Peck,Software Engineer,reject,select,56.4,0.0,4.92,2.95,56.4,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4681,joshco270,Joshua Cox,System Administrator,select,select,55.06,0.0,5.93,3.56,55.06,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4682,chriro159,Christina Romero,Content Writer,reject,select,52.46,0.0,7.85,4.71,52.46,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4683,jennst637,Jennifer Stewart,UI Engineer,reject,select,50.23,0.0,9.5,5.7,50.23,12.61,Not Recommended,None,machine learning,This candidate has limited alignment with the current job requirements.
4684,marcca652,Marcus Campbell,Business Analyst,select,select,54.94,0.0,6.0,3.6,54.94,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4685,ronadu294,Ronald Dunn,Data Architect,select,select,52.87,0.0,7.53,4.52,52.87,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4686,melima453,Melissa Martinez,Human Resources Specialist,select,reject,50.46,0.0,10.0,6.0,49.54,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4687,richmu809,Richard Murray,E-commerce Specialist,reject,select,54.74,0.0,6.15,3.69,54.74,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4688,johnmu579,John Munoz,AI Researcher,reject,select,53.5,0.0,7.09,4.25,53.5,12.61,Not Recommended,None,data science,This candidate has limited alignment with the current job requirements.
4689,heatco565,Heather Cooper,Cybersecurity Analyst,select,reject,64.45,0.0,20.36,12.22,35.55,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4690,robemi467,Robert Miller,Human Resources Specialist,select,select,53.47,0.0,7.08,4.25,53.47,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4691,shawja168,Shawn Jackson,Data Engineer,reject,select,56.72,0.0,4.69,2.81,56.72,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4692,britwo777,Brittany Wood,Product Manager,select,select,53.87,0.0,6.82,4.09,53.87,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4693,meagbo514,Meagan Bowman,Cloud Architect,reject,select,51.51,0.0,8.54,5.12,51.51,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4694,rivash0250,aaditya reddy,software engineer,reject,select,52.09,0.0,8.12,4.87,52.09,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4695,U_4,Emily,Data Engineer,select,select,57.29,0.0,4.28,2.57,57.29,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4696,donama701,Donald Mathis,Cloud Architect,select,select,53.81,0.0,6.84,4.1,53.81,12.61,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4697,kellma680,Kelly Martin,Mobile App Developer,select,reject,54.74,0.0,13.15,7.89,45.26,12.6,Not Recommended,None,data science,This candidate has limited alignment with the current job requirements.
4698,juancu717,Juan Cummings,Content Writer,reject,select,53.8,0.0,6.82,4.09,53.8,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4699,migudo920,Miguel Douglas,Cloud Architect,select,select,55.44,0.0,5.61,3.37,55.44,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4700,michbo192,Michael Bowman,Mobile App Developer,reject,reject,52.28,0.0,11.32,6.79,47.72,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4701,ryansl842,Ryan Sloan,Mobile App Developer,select,reject,52.21,0.0,11.26,6.76,47.79,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4702,harima5,Sonia,Software Engineer,reject,select,53.55,0.0,7.02,4.21,53.55,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4703,erinri557,Erin Rivera,Human Resources Specialist,reject,select,53.99,0.0,6.67,4.0,53.99,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4704,andrmc929,Andrea Mcmahon,Data Analyst,reject,select,56.15,0.0,5.06,3.04,56.15,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4705,suzasa177,Suzanne Sanchez,Cloud Engineer,reject,reject,51.07,0.0,10.44,6.26,48.93,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4706,saradu867,Sarah Dunn,Cloud Architect,select,select,56.07,0.0,5.15,3.09,56.07,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4707,audrtu587,Audrey Turner,Digital Marketing Specialist,select,select,50.14,0.0,9.52,5.71,50.14,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4708,shawwi676,Shawn Wise,Cloud Architect,select,select,56.28,0.0,4.98,2.99,56.28,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4709,richdu452,Richard Dunlap,DevOps Engineer,select,select,54.31,0.0,6.43,3.86,54.31,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4710,casspe344,Cassandra Pennington,IT Support Specialist,reject,select,52.38,0.0,7.88,4.73,52.38,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4711,charhu984,charles hudson,software engineer,reject,reject,58.65,0.0,16.05,9.63,41.35,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4712,justma165,Justin Martin,Cloud Architect,select,select,53.04,0.0,7.37,4.42,53.04,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4713,shelmo925,Shelia Moore,Human Resources Specialist,reject,reject,51.1,0.0,10.43,6.26,48.9,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4714,rivash0121,sweta shah,data engineer,reject,select,55.87,0.0,5.27,3.16,55.87,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4715,nicoan584,Nicole Andrade,UX Designer,reject,select,50.35,0.0,9.37,5.62,50.35,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4716,stepgr995,Stephanie Gregory,Mobile App Developer,reject,reject,52.46,0.0,11.47,6.88,47.54,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4717,ericju464,Erica Juarez,Cybersecurity Analyst,reject,reject,51.09,0.0,10.44,6.26,48.91,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4718,erichi979,Eric Hill,E-commerce Specialist,select,select,53.28,0.0,7.19,4.31,53.28,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4719,henros780,Henry Osborn,Full Stack Developer,reject,reject,53.23,0.0,12.03,7.22,46.77,12.6,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4720,jasoal315,Jason Allen,DevOps Engineer,reject,select,54.92,0.0,5.94,3.56,54.92,12.59,Not Recommended,None,data science,This candidate has limited alignment with the current job requirements.
4721,josewa550,Joseph Walker,Cybersecurity Analyst,reject,select,54.41,0.0,6.33,3.8,54.41,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4722,laurmc144,Lauren Mccullough,Human Resources Specialist,reject,reject,52.78,0.0,11.65,6.99,47.22,12.59,Not Recommended,None,machine learning,This candidate has limited alignment with the current job requirements.
4723,ashlsa459,Ashley Sanders,DevOps Engineer,reject,select,52.39,0.0,7.81,4.69,52.39,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4724,barbsa260,Barbara Salazar,Robotics Engineer,select,select,50.9,0.0,8.94,5.36,50.9,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4725,timoke817,Timothy Kennedy,Mobile App Developer,reject,reject,50.96,0.0,10.32,6.19,49.04,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4726,nathjo193,Nathan Johnson,Business Analyst,reject,select,53.01,0.0,7.36,4.42,53.01,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4727,clauho541,Claudia Holmes,Data Engineer,reject,select,55.1,0.0,5.81,3.49,55.1,12.59,Not Recommended,None,data science,This candidate has limited alignment with the current job requirements.
4728,codyan987,Cody Anderson,Blockchain Developer,select,select,52.43,0.0,7.79,4.67,52.43,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4729,apribr599,April Brown,Cloud Engineer,reject,select,60.0,0.0,2.2,1.32,60.0,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4730,rivash0608,chirag singh,data engineer,select,select,59.21,0.0,2.76,1.66,59.21,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4731,harima91,Ananya,Data Analyst,select,select,56.45,0.0,4.8,2.88,56.45,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4732,U_49,Emily,Data Scientist,select,select,56.44,0.0,4.83,2.9,56.44,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4733,melior428,Melissa Ortiz DVM,Mobile App Developer,select,reject,53.78,0.0,12.4,7.44,46.22,12.59,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4734,rivash0460,lahar gupta,data scientist,select,select,59.73,0.0,2.36,1.42,59.73,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4735,dr.ca770,Dr. Caleb Craig,Business Analyst,select,select,55.19,0.0,5.72,3.43,55.19,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4736,jameme469,James Mercado,Content Writer,select,select,52.35,0.0,7.82,4.69,52.35,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4737,migusm245,Miguel Smith,Content Writer,reject,select,50.02,0.0,9.54,5.72,50.02,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4738,patron259,Patricia Oneill,Mobile App Developer,select,reject,54.64,0.0,12.98,7.79,45.36,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4739,rivash0491,janki verma,data analyst,reject,select,50.94,0.0,8.87,5.32,50.94,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4740,jonaru586,Jonathan Rubio,Cloud Architect,reject,select,55.38,0.0,5.57,3.34,55.38,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4741,marcsm145,Marc Smith,QA Engineer,reject,select,54.9,0.0,5.94,3.56,54.9,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4742,luisja866,Luis Jackson,Full Stack Developer,select,reject,52.61,0.0,11.49,6.89,47.39,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4743,kathro738,Kathy Robinson,Digital Marketing Specialist,reject,select,51.67,0.0,8.31,4.99,51.67,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4744,stevfl838,Steven Flores,Content Writer,select,select,51.4,0.0,8.51,5.11,51.4,12.58,Not Recommended,None,data analysis,This candidate has limited alignment with the current job requirements.
4745,rivash0089,harshini shah,data engineer,select,select,59.57,0.0,2.48,1.49,59.57,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4746,KotaSai179,Harini Joshi,Project Manager,reject,reject,51.91,0.0,10.96,6.58,48.09,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4747,harima141,Sophia,Data Engineer,select,select,55.58,0.0,5.43,3.26,55.58,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4748,lisadu940,Lisa Duncan,Data Engineer,select,select,54.06,0.0,6.57,3.94,54.06,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4749,emilpa980,Emily Palmer,Software Engineer,reject,select,57.45,0.0,4.04,2.42,57.45,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4750,kareca164,Karen Carpenter,AI Researcher,reject,select,55.95,0.0,5.17,3.1,55.95,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4751,anthwo608,Anthony Woods,Cybersecurity Analyst,reject,select,55.63,0.0,5.37,3.22,55.63,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4752,dwaych452,Dwayne Chavez,Digital Marketing Specialist,reject,reject,51.07,0.0,10.33,6.2,48.93,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4753,isabsh351,Isabella Shaw,Data Architect,reject,select,51.28,0.0,8.61,5.17,51.28,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4754,janikl405,Janice Klein,Data Scientist,select,select,51.3,0.0,8.59,5.15,51.3,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4755,chriha193,Christopher Haynes,E-commerce Specialist,select,select,55.78,0.0,5.27,3.16,55.78,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4756,jamekh134,James Khan,Product Manager,reject,select,56.33,0.0,4.85,2.91,56.33,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4757,denigu902,Denise Guzman,Content Writer,select,select,59.66,0.0,2.4,1.44,59.66,12.58,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4758,ericha996,Eric Hart,Database Administrator,reject,select,54.2,0.0,6.4,3.84,54.2,12.57,Not Recommended,None,data analysis,This candidate has limited alignment with the current job requirements.
4759,rivash0543,eshani verma,data engineer,reject,select,56.83,0.0,4.46,2.68,56.83,12.57,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4760,robimo947,Robin Moody,Data Architect,select,select,55.56,0.0,5.4,3.24,55.56,12.57,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4761,laurbo617,Lauren Bond,QA Engineer,select,select,55.48,0.0,5.46,3.28,55.48,12.57,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4762,U_124,Mia,Data Scientist,select,select,54.4,0.0,6.26,3.76,54.4,12.57,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
4763,robemu614,Robert Mullins,Content Writer,select,select,51.63,0.0,8.31,4.99,51.63,12.57,Not Recommended,None,data analysis,This candidate has limited alignment with the current job requirements.
4764,jennly995,Jennifer Lynch,UX Designer,reject,select,51.72,0.0,8.25,4.95,51.72,12.57,Not Recommended,None,None,This candidate has limited alignment with the current job requirements.
